x,y,vx,vy,xt,yt,vxt,vyt
-5.94057, -1.13105, -2.25732, -4.6746, -5.94118, -1.09472, -2.35262, -4.58032
-6.02823, -1.39482, -2.22434, -4.71766, -6.05993, -1.32316, -2.39581, -4.55404
-6.16716, -1.60392, -2.31099, -4.65561, -6.18087, -1.55025, -2.44014, -4.52648
-6.31097, -1.83378, -2.47938, -4.60782, -6.30406, -1.77593, -2.48555, -4.49762
-6.41607, -2.08074, -2.47536, -4.62207, -6.42954, -2.00014, -2.532, -4.46742
-6.56824, -2.28543, -2.56938, -4.54871, -6.55738, -2.22281, -2.57946, -4.43585
-6.7176, -2.49531, -2.65533, -4.48807, -6.68761, -2.44386, -2.62788, -4.40288
-6.87396, -2.7068, -2.75674, -4.42839, -6.82029, -2.66323, -2.6772, -4.36847
-6.96509, -2.97172, -2.69209, -4.49803, -6.95546, -2.88084, -2.7274, -4.3326
-7.0943, -3.19642, -2.70136, -4.48105, -7.09316, -3.09663, -2.7784, -4.29523
-7.21923, -3.39587, -2.73569, -4.42246, -7.23344, -3.3105, -2.83017, -4.25632
-7.365, -3.63952, -2.76928, -4.43566, -7.37632, -3.5224, -2.88265, -4.21586
-7.52528, -3.78705, -2.89105, -4.27498, -7.52184, -3.73223, -2.93579, -4.1738
-7.67009, -3.99572, -2.94552, -4.2376, -7.67004, -3.93992, -2.98953, -4.13012
-7.82399, -4.22128, -2.99, -4.22906, -7.82094, -4.14538, -3.04381, -4.08479
-7.97496, -4.43859, -3.02566, -4.21036, -7.97457, -4.34854, -3.09857, -4.03778
-8.13533, -4.67301, -3.06581, -4.21848, -8.13095, -4.5493, -3.15376, -3.98906
-8.27448, -4.88152, -3.02944, -4.19903, -8.2901, -4.74759, -3.2093, -3.93862
-8.407, -5.10109, -3.02189, -4.20345, -8.45204, -4.94331, -3.26514, -3.88641
-8.55311, -5.27703, -3.0256, -4.1285, -8.61678, -5.13637, -3.32121, -3.83242
-8.74515, -5.47329, -3.13273, -4.06599, -8.78433, -5.32669, -3.37745, -3.77663
-8.90317, -5.67289, -3.15543, -4.03483, -8.95469, -5.51417, -3.43377, -3.71901
-9.06179, -5.85994, -3.19704, -3.9852, -9.12788, -5.69872, -3.49012, -3.65955
-9.19978, -6.02665, -3.17447, -3.91778, -9.30388, -5.88026, -3.54643, -3.59823
-9.38334, -6.13424, -3.29699, -3.72605, -9.4827, -6.05868, -3.60261, -3.53503
-9.55707, -6.31858, -3.34115, -3.68474, -9.66432, -6.23389, -3.6586, -3.46994
-9.69857, -6.52431, -3.32079, -3.70811, -9.84874, -6.4058, -3.71431, -3.40295
-9.91972, -6.68196, -3.4833, -3.59276, -10.0359, -6.57431, -3.76969, -3.33404
-10.1246, -6.84196, -3.58375, -3.49788, -10.2259, -6.73933, -3.82463, -3.26321
-10.3087, -7.00398, -3.64885, -3.43108, -10.4186, -6.90075, -3.87907, -3.19046
-10.5378, -7.17724, -3.7669, -3.35381, -10.614, -7.05849, -3.93293, -3.11577
-10.7435, -7.31905, -3.85768, -3.24442, -10.8121, -7.21245, -3.98613, -3.03916
-10.9884, -7.47442, -3.99009, -3.13509, -11.0128, -7.36252, -4.03859, -2.96062
-11.1784, -7.61613, -4.01904, -3.0513, -11.2161, -7.50862, -4.09021, -2.88015
-11.3291, -7.77243, -3.98271, -3.03991, -11.422, -7.65064, -4.14093, -2.79777
